0,Airline software giant ends distribution service with Russia’s Aeroflot
1,How an American gig work platform was accused of working for Russia 
2,Japan court rules American helped former Nissan chief hide payments
3,Will high gas prices supercharge electric vehicle sales? 
4,"Oil soars as markets, consumers brace for more volatility"
5,"In Mexico, a second major win for independent unions"
6,‘It’s a complete black box’: Russian oligarchs pour money into U.S. real estate market
7,How about a sweater with that carton of eggs?
8,"Apple halts sales of products to Russia, restricts access to Russian news apps"
9,EpiPen maker to pay $264 million to settle lawsuit 
10,"Infant formula recall expanded following child's death, FDA says"
11,Ukraine pushes for cease-fire as fighting rages and sanctions hit Russia's economy
12,"Inflation is biggest fear in markets, despite Russian aggression"
13,Russian economy spirals into deepening crisis as sanctions send people into panic
14,Target raising wages up to $24 an hour for some workers
15,"BP to offload stake in Russia’s Rosneft, cites invasion of Ukraine"
16,Will Russia-Ukraine conflict slow summer travel to Europe?
17,Chris Licht to become new CNN president following Jeff Zucker ouster
18,Peloton attempts to find its footing after several high-profile blunders
19,"Investor fears over Russia-Ukraine conflict are overblown, experts say"
20,Russia-Ukraine conflict impacts U.S. economy
21,Wall Street's wild ride ends the day on an upward note after Biden's speech
22,"The Russia-Ukraine conflict will 'test' U.S. consumers on multiple fronts, experts say"
23,SWIFT banking system could be used as a sanction against Russia. Here's what it is.
24,Oil prices jump as Russia launches attack on Ukraine
25,Ukraine crisis could create more woes for auto industry
26,An Afro Latina's mission to embrace natural hair gets push from beauty giant 
27,Target lifts mask requirements for staff and shoppers
28,Gas prices are on the rise as Russia launches invasion of Ukraine
29,Extended stay hotels play the long game 
30,Consumers and markets may be in for wild ride as oil prices rise
31,The case for bitcoin as ‘digital gold’ is falling apart
32,'I would pay anything': Parents needing formula are left empty handed due to shortage
33,"Contract worker injured in Louisiana refinery explosion and fire, company says"
34,Small businesses say they are hurt by rising costs to advertise on Amazon
35,Founder of collapsed $1.7 billion mutual fund charged with fraud
36,Car buyers trade in haggling for sticker shock
37,Chicago denies permit for scrapyard at heart of 'environmental injustice' battle
38,"Ship carrying Porsches, Audis and Bentleys is burning and adrift"
39,"As food prices increase, store brands may have an advantage"
40,Auto industry reconsiders production systems after border protests
41,Retailers embrace new tracking tech on goods to crack down on theft
42,"Cuts to California cannabis taxes would harm low-income youths, advocates say"
43,"Mexico’s avocados face fallout from violence, deforestation"
44,"'If you build it, I will come': Kevin Costner lobbies Utah for more tax rebates for film production"
45,What is causing inflation? Economists point fingers at different culprits
46,U.S. suspends Mexican avocado imports after threat to inspector
47,Bird flu spread in U.S. puts poultry farms on high alert
48,U.S. to provide $5 billion to help states build network of EV charging stations
49,"Expect a rise in gas and heating prices if Russia invades Ukraine, experts warn"
50,Why were there so many crypto ads during the Super Bowl?
51,Super Bowl host Inglewood has undergone one of California’s most dramatic transitions
52,"House prices soar in Inglewood, California, as the city prepares to host Super Bowl"
53,"For Canadian residents, impact of trucker protest can be seen at local grocery stores"
54,Rent prices expected to increase another 10 percent in next year
55,Dow tumbles 500 points as Ukraine-Russia crisis deepens
56,How one family is working to get out of an attic and own a home of their own
57,How one woman aims to cash in on her savings and travel the world
58,Makeup company brings inclusivity to the cosmetics world
59,Charities innovate to meet the challenges of Covid-19
